BU,Market,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,FY
ANZ,Australia,2023,9.30%,9.30%,9.30%,9.30%,9.30%,9.30%,9.30%,9.30%,9.30%,9.30%,9.30%,9.30%,9.30%
ANZ,New Zealand,2023,9.30%,9.30%,9.30%,9.30%,9.30%,9.30%,9.30%,9.30%,9.30%,9.30%,9.30%,9.30%,9.30%
ANZ,ANZ,2023,9.30%,9.30%,9.30%,9.30%,9.30%,9.30%,9.30%,9.30%,9.30%,9.30%,9.30%,9.30%,9.30%
Greater China,China,2023,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%
Greater China,Hong Kong,2023,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%
Greater China,Taiwan,2023,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%
Greater China,Greater China,2023,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%
India,Bangladesh,2023,16.10%,16.10%,16.10%,16.10%,16.10%,16.10%,16.10%,16.10%,16.10%,16.10%,16.10%,16.10%,16.10%
India,India,2023,16.10%,16.10%,16.10%,16.10%,16.10%,16.10%,16.10%,16.10%,16.10%,16.10%,16.10%,16.10%,16.10%
India,India BU,2023,16.10%,16.10%,16.10%,16.10%,16.10%,16.10%,16.10%,16.10%,16.10%,16.10%,16.10%,16.10%,16.10%
Japan,Japan,2023,50.90%,50.90%,50.90%,50.90%,50.90%,50.90%,50.90%,50.90%,50.90%,50.90%,50.90%,50.90%,50.90%
MENAP,New Markets,2023,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%
MENAP,Egypt,2023,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%
MENAP,GCC,2023,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%
MENAP,Lebanon,2023,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%
MENAP,Morocco,2023,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%
MENAP,Pakistan,2023,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%
MENAP,Saudi Arabia,2023,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%
MENAP,MENAP,2023,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%,11.10%
SEA,AMEA Exports,2023,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%
SEA,Indonesia,2023,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%
SEA,Malaysia,2023,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%
SEA,Philippines,2023,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%
SEA,Singapore,2023,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%
SEA,Thailand,2023,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%
SEA,Vietnam,2023,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%
SEA,SEA,2023,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%,14.20%
SSA,CEA,2023,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%
SSA,Ghana,2023,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%
SSA,Nigeria,2023,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%
SSA,South Africa,2023,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%
SSA,SSA,2023,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%,16.90%
AMEA,AMEA,2023,12.80%,12.80%,12.80%,12.80%,12.80%,12.80%,12.80%,12.80%,12.80%,12.80%,12.80%,12.80%,12.80%
